"","MFE","peak_type","peak_type_2"
"1",0,"annotated no peak","annotated"
"2",-6.1,"annotated peak","annotated"
"3",-6.2,"annotated no peak","annotated"
"4",-2.3,"annotated peak","annotated"
"5",-3.8,"annotated peak","annotated"
"6",-12.3,"annotated no peak","annotated"
"7",-3.6,"annotated no peak","annotated"
"8",-3.3,"annotated peak","annotated"
"9",-4.4,"annotated peak","annotated"
"10",-3.8,"annotated peak","annotated"
"11",0,"annotated peak","annotated"
"12",-3.6,"annotated no peak","annotated"
"13",-3.1,"annotated peak","annotated"
"14",-4.6,"annotated peak","annotated"
"15",-3.1,"annotated no peak","annotated"
"16",-1.3,"annotated no peak","annotated"
"17",-8.2,"annotated no peak","annotated"
"18",-2.4,"annotated peak","annotated"
"19",-10.1,"annotated no peak","annotated"
"20",-8.6,"annotated no peak","annotated"
"21",-3.9,"annotated no peak","annotated"
"22",-3.3,"annotated peak","annotated"
"23",-7.1,"annotated no peak","annotated"
"24",-5.7,"annotated peak","annotated"
"25",-2.2,"annotated peak","annotated"
"26",-7.2,"annotated no peak","annotated"
"27",-2.4,"annotated peak","annotated"
"28",-7.2,"annotated no peak","annotated"
"29",-4.1,"annotated peak","annotated"
"30",-4,"annotated peak","annotated"
"31",-5.2,"annotated peak","annotated"
"32",-0.2,"annotated peak","annotated"
"33",-3,"annotated peak","annotated"
"34",-7.7,"annotated no peak","annotated"
"35",-4.2,"annotated peak","annotated"
"36",-3.4,"annotated peak","annotated"
"37",-1.6,"annotated peak","annotated"
"38",-3.9,"annotated peak","annotated"
"39",-6,"annotated peak","annotated"
"40",-7.1,"annotated peak","annotated"
"41",-3.2,"annotated peak","annotated"
"42",-8.7,"annotated no peak","annotated"
"43",-10.2,"annotated peak","annotated"
"44",-2.5,"annotated no peak","annotated"
"45",-5.9,"annotated no peak","annotated"
"46",-12.1,"annotated no peak","annotated"
"47",-4.4,"annotated peak","annotated"
"48",-5.2,"annotated no peak","annotated"
"49",-5.4,"annotated peak","annotated"
"50",-3.1,"annotated peak","annotated"
"51",-2.2,"annotated no peak","annotated"
"52",-1.8,"annotated peak","annotated"
"53",-3.1,"annotated no peak","annotated"
"54",-8.3,"annotated peak","annotated"
"55",-5.1,"annotated peak","annotated"
"56",-18.1,"annotated no peak","annotated"
"57",-3.4,"annotated peak","annotated"
"58",-0.6,"annotated peak","annotated"
"59",-11.5,"annotated peak","annotated"
"60",-3.7,"annotated peak","annotated"
"61",-4.8,"annotated peak","annotated"
"62",-6.5,"annotated peak","annotated"
"63",-4.3,"annotated no peak","annotated"
"64",-8.1,"annotated no peak","annotated"
"65",-2.5,"annotated peak","annotated"
"66",-12.4,"annotated no peak","annotated"
"67",-11.6,"annotated no peak","annotated"
"68",-5.3,"annotated no peak","annotated"
"69",-12.4,"annotated no peak","annotated"
"70",-3.3,"annotated no peak","annotated"
"71",-0.8,"annotated no peak","annotated"
"72",-7.8,"annotated no peak","annotated"
"73",-4.3,"annotated peak","annotated"
"74",-5.6,"annotated no peak","annotated"
"75",-3,"annotated no peak","annotated"
"76",-5.3,"annotated no peak","annotated"
"77",-4.5,"annotated peak","annotated"
"78",-5.7,"annotated peak","annotated"
"79",-5.2,"annotated peak","annotated"
"80",-8.4,"annotated no peak","annotated"
"81",-3.8,"annotated no peak","annotated"
"82",-10.3,"annotated no peak","annotated"
"83",-5.4,"annotated peak","annotated"
"84",-5.5,"annotated peak","annotated"
"85",-12,"annotated no peak","annotated"
"86",-2.8,"annotated peak","annotated"
"87",-5.9,"annotated no peak","annotated"
"88",-9,"annotated no peak","annotated"
"89",-5,"annotated peak","annotated"
"90",-1.7,"annotated peak","annotated"
"91",-1.7,"annotated peak","annotated"
"92",-6,"annotated no peak","annotated"
"93",-1.3,"annotated no peak","annotated"
"94",-4.6,"annotated peak","annotated"
"95",-3.6,"annotated peak","annotated"
"96",-2.8,"annotated peak","annotated"
"97",-6.9,"annotated no peak","annotated"
"98",-11.1,"annotated peak","annotated"
"99",-8.1,"annotated peak","annotated"
"100",-6.2,"annotated peak","annotated"
"101",-5.5,"annotated no peak","annotated"
"102",-3.2,"annotated peak","annotated"
"103",-9.5,"annotated no peak","annotated"
"104",-5,"annotated peak","annotated"
"105",-3.6,"annotated peak","annotated"
"106",-2.7,"annotated no peak","annotated"
"107",-9.1,"annotated peak","annotated"
"108",-9,"annotated peak","annotated"
"109",-4.8,"annotated peak","annotated"
"110",-5.8,"annotated no peak","annotated"
"111",-6.3,"annotated peak","annotated"
"112",-4.8,"annotated peak","annotated"
"113",-1.4,"annotated peak","annotated"
"114",-4.9,"annotated peak","annotated"
"115",-6.2,"annotated peak","annotated"
"116",-3.7,"annotated peak","annotated"
"117",-0.9,"annotated peak","annotated"
"118",-5.2,"annotated peak","annotated"
"119",-4.6,"annotated no peak","annotated"
"120",-1.8,"annotated peak","annotated"
"121",-3.5,"annotated peak","annotated"
"122",-4.7,"annotated peak","annotated"
"123",-3.7,"annotated no peak","annotated"
"124",-8.6,"annotated peak","annotated"
"125",-5.4,"annotated peak","annotated"
"126",-8.6,"annotated peak","annotated"
"127",-3.5,"annotated no peak","annotated"
"128",-1.7,"annotated peak","annotated"
"129",-2.4,"annotated peak","annotated"
"130",-7.3,"annotated peak","annotated"
"131",-0.1,"annotated peak","annotated"
"132",-2.7,"annotated peak","annotated"
"133",-0.3,"annotated no peak","annotated"
"134",-3.5,"annotated peak","annotated"
"135",-3.9,"annotated peak","annotated"
"136",-4,"annotated peak","annotated"
"137",-4.9,"annotated peak","annotated"
"138",-4.6,"annotated peak","annotated"
"139",-17.5,"annotated no peak","annotated"
"140",-4.7,"annotated no peak","annotated"
"141",-15.4,"annotated no peak","annotated"
"142",-7.8,"annotated peak","annotated"
"143",-5.4,"annotated peak","annotated"
"144",-8.9,"annotated no peak","annotated"
"145",-6.6,"annotated no peak","annotated"
"146",-6.5,"annotated peak","annotated"
"147",-0.8,"annotated peak","annotated"
"148",-6.2,"annotated no peak","annotated"
"149",-11.9,"annotated no peak","annotated"
"150",-5.3,"annotated no peak","annotated"
"151",-5.3,"annotated peak","annotated"
"152",-3.8,"annotated peak","annotated"
"153",-6,"annotated peak","annotated"
"154",-5.1,"annotated peak","annotated"
"155",-11.5,"annotated no peak","annotated"
"156",-2.4,"annotated peak","annotated"
"157",-6.2,"annotated peak","annotated"
"158",-1.2,"annotated peak","annotated"
"159",-15.5,"annotated no peak","annotated"
"160",-2.3,"annotated peak","annotated"
"161",-8.4,"annotated no peak","annotated"
"162",-3.4,"annotated peak","annotated"
"163",-5.3,"annotated peak","annotated"
"164",-7.7,"annotated no peak","annotated"
"165",-2.9,"annotated peak","annotated"
"166",-8,"annotated peak","annotated"
